#Num,collapses/collapsed,highest_damage_state/S,reconstruction/cost_impractical,reconstruction/cost,reconstruction/time,inhabitants/,injuries/sev1,injuries/sev2,injuries/sev3,injuries/sev4
0,0.0,1,0,14463.896,5.0,1.0,0.0005,0.0,0.0,0.0
1,0.0,2,0,72319.48000000001,30.0,1.0,0.0025,0.0003,0.0,0.0
2,1.0,4,0,723194.8,1.0,1.0,0.4,0.2,0.05,0.1
3,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,0.0,1,0,14463.896,5.0,1.0,0.0005,0.0,0.0,0.0
5,0.0,2,0,72319.48000000001,30.0,1.0,0.0025,0.0003,0.0,0.0
6,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,0.0,1,0,14463.896,5.0,1.0,0.0005,0.0,0.0,0.0
10,0.0,4,0,723194.8,240.0,1.0,0.05,0.01,0.0001,0.0001
11,0.0,4,0,723194.8,240.0,1.0,0.05,0.01,0.0001,0.0001
12,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,0.0,1,0,14463.896,5.0,1.0,0.0005,0.0,0.0,0.0
14,0.0,3,0,298679.4524,120.0,1.0,0.01,0.001,1e-05,1e-05
15,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,0.0,3,0,298679.4524,120.0,1.0,0.01,0.001,1e-05,1e-05
17,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18,0.0,3,0,298679.4524,120.0,1.0,0.01,0.001,1e-05,1e-05
19,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20,0.0,3,0,298679.4524,120.0,1.0,0.01,0.001,1e-05,1e-05
21,0.0,3,0,298679.4524,120.0,1.0,0.01,0.001,1e-05,1e-05
22,0.0,1,0,14463.896,5.0,1.0,0.0005,0.0,0.0,0.0
23,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
24,0.0,2,0,72319.48000000001,30.0,1.0,0.0025,0.0003,0.0,0.0
25,0.0,2,0,72319.48000000001,30.0,1.0,0.0025,0.0003,0.0,0.0
26,0.0,2,0,72319.48000000001,30.0,1.0,0.0025,0.0003,0.0,0.0
27,0.0,4,0,723194.8,240.0,1.0,0.05,0.01,0.0001,0.0001
28,0.0,2,0,72319.48000000001,30.0,1.0,0.0025,0.0003,0.0,0.0
29,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
30,0.0,4,0,723194.8,240.0,1.0,0.05,0.01,0.0001,0.0001
31,0.0,2,0,72319.48000000001,30.0,1.0,0.0025,0.0003,0.0,0.0
32,0.0,2,0,72319.48000000001,30.0,1.0,0.0025,0.0003,0.0,0.0
33,0.0,1,0,14463.896,5.0,1.0,0.0005,0.0,0.0,0.0
34,0.0,2,0,72319.48000000001,30.0,1.0,0.0025,0.0003,0.0,0.0
35,0.0,3,0,298679.4524,120.0,1.0,0.01,0.001,1e-05,1e-05
36,0.0,4,0,723194.8,240.0,1.0,0.05,0.01,0.0001,0.0001
37,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
38,0.0,2,0,72319.48000000001,30.0,1.0,0.0025,0.0003,0.0,0.0
39,0.0,3,0,298679.4524,120.0,1.0,0.01,0.001,1e-05,1e-05
40,0.0,1,0,14463.896,5.0,1.0,0.0005,0.0,0.0,0.0
41,0.0,2,0,72319.48000000001,30.0,1.0,0.0025,0.0003,0.0,0.0
42,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
43,0.0,3,0,298679.4524,120.0,1.0,0.01,0.001,1e-05,1e-05
44,0.0,3,0,298679.4524,120.0,1.0,0.01,0.001,1e-05,1e-05
45,0.0,1,0,14463.896,5.0,1.0,0.0005,0.0,0.0,0.0
46,0.0,1,0,14463.896,5.0,1.0,0.0005,0.0,0.0,0.0
47,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
48,0.0,1,0,14463.896,5.0,1.0,0.0005,0.0,0.0,0.0
49,0.0,4,0,723194.8,240.0,1.0,0.05,0.01,0.0001,0.0001
